Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2013","2013","tonnes","94","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2014","2014","tonnes","56","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2015","2015","tonnes","52","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2016","2016","tonnes","36","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2017","2017","tonnes","113","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2018","2018","tonnes","478","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2019","2019","tonnes","339","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2001","2001","tonnes","23","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2002","2002","tonnes","60","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2003","2003","tonnes","66","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2004","2004","tonnes","14","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2005","2005","tonnes","61","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2006","2006","tonnes","49","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2007","2007","tonnes","77","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2008","2008","tonnes","163","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2009","2009","tonnes","89","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2010","2010","tonnes","83","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2011","2011","tonnes","9","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2012","2012","tonnes","87","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2013","2013","tonnes","71","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2014","2014","tonnes","17","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2015","2015","tonnes","18","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2016","2016","tonnes","23","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2017","2017","tonnes","36","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2018","2018","tonnes","9","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2019","2019","tonnes","5","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2001","2001","tonnes","0","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2002","2002","tonnes","6","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2003","2003","tonnes","6","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2004","2004","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2005","2005","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2006","2006","tonnes","3","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2007","2007","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2008","2008","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2009","2009","tonnes","0","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2010","2010","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2011","2011","tonnes","1","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2012","2012","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2013","2013","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2014","2014","tonnes","4","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2001","2001","tonnes","8100","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2002","2002","tonnes","8656","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2003","2003","tonnes","10877","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2004","2004","tonnes","12572","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2005","2005","tonnes","14411","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2006","2006","tonnes","11476","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2007","2007","tonnes","16662","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2008","2008","tonnes","30402","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2009","2009","tonnes","54273","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2010","2010","tonnes","60813","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2011","2011","tonnes","40921","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2012","2012","tonnes","53793","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2013","2013","tonnes","37150","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2014","2014","tonnes","54496","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2015","2015","tonnes","80189","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2016","2016","tonnes","111803","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2017","2017","tonnes","89837","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2018","2018","tonnes","116107","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","486","Bananas","2019","2019","tonnes","173804","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2001","2001","tonnes","0","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2002","2002","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2003","2003","tonnes","20","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2004","2004","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2005","2005","tonnes","18610","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2006","2006","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2007","2007","tonnes","296","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2008","2008","tonnes","2418","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2009","2009","tonnes","385","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2010","2010","tonnes","2050","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2011","2011","tonnes","716","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2012","2012","tonnes","35181","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2013","2013","tonnes","500","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2014","2014","tonnes","1088","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2015","2015","tonnes","3023","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2016","2016","tonnes","141757","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2017","2017","tonnes","250194","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","44","Barley","2018","2018","tonnes","88859","","Official data"
