Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2019","2019","hg/ha","28374","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2010","2010","tonnes","13645","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2011","2011","tonnes","13929","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2012","2012","tonnes","14149","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2013","2013","tonnes","14155","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2014","2014","tonnes","14116","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2015","2015","tonnes","14186","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2016","2016","tonnes","15280","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2017","2017","tonnes","15541","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2018","2018","tonnes","15843","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2019","2019","tonnes","16145","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2010","2010","ha","830000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2011","2011","ha","796500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2012","2012","ha","776000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2013","2013","ha","796000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2014","2014","ha","802570","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2015","2015","ha","822000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2016","2016","ha","841000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2017","2017","ha","860000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2018","2018","ha","884000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2019","2019","ha","866000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2010","2010","hg/ha","358795","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2011","2011","hg/ha","357252","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2012","2012","hg/ha","341611","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2013","2013","hg/ha","346420","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2014","2014","hg/ha","370367","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2015","2015","hg/ha","355487","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2016","2016","hg/ha","346433","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2017","2017","hg/ha","354384","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2018","2018","hg/ha","348507","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","2019","2019","hg/ha","351732","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2010","2010","tonnes","29780000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2011","2011","tonnes","28455100","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2012","2012","tonnes","26509000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2013","2013","tonnes","27575000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2014","2014","tonnes","29724550","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2015","2015","tonnes","29221000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2016","2016","tonnes","29135000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2017","2017","tonnes","30477000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2018","2018","tonnes","30808000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","486","Bananas","2019","2019","tonnes","30460000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2010","2010","ha","623800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2011","2011","ha","705400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2012","2012","ha","643000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2013","2013","ha","695000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2014","2014","ha","673500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2015","2015","ha","707000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2016","2016","ha","590000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2017","2017","ha","656250","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2018","2018","ha","660800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2019","2019","ha","575600","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2010","2010","hg/ha","21717","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2011","2011","hg/ha","23574","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2012","2012","hg/ha","25194","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2013","2013","hg/ha","25180","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2014","2014","hg/ha","27171","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2015","2015","hg/ha","22815","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2016","2016","hg/ha","24407","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2017","2017","hg/ha","26628","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2018","2018","hg/ha","26949","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","44","Barley","2019","2019","hg/ha","28372","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2010","2010","tonnes","1354700","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2011","2011","tonnes","1662900","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2012","2012","tonnes","1620000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2013","2013","tonnes","1750000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2014","2014","tonnes","1830000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","44","Barley","2015","2015","tonnes","1613000","","Official data"
