Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2003","2003","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2004","2004","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2005","2005","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2006","2006","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2007","2007","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2008","2008","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2009","2009","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2010","2010","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2011","2011","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2012","2012","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2013","2013","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2014","2014","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2015","2015","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2016","2016","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2017","2017","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2018","2018","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7002","February","2019","2019","°C","0.802","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2001","2001","°C","0.392","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2002","2002","°C","0.906","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2003","2003","°C","0.266","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2004","2004","°C","1.93","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2005","2005","°C","0.847","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2006","2006","°C","0.077","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2007","2007","°C","0.042","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2008","2008","°C","0.781","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2009","2009","°C","1.12","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2010","2010","°C","2.233","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2011","2011","°C","0.618","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2012","2012","°C","0.334","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2013","2013","°C","0.629","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2014","2014","°C","-0.322","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2015","2015","°C","-0.159","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2016","2016","°C","1.614","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2017","2017","°C","0.639","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2018","2018","°C","1.457","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2019","2019","°C","0.224","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2001","2001","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2002","2002","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2003","2003","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2004","2004","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2005","2005","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2006","2006","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2007","2007","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2008","2008","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2009","2009","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2010","2010","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2011","2011","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2012","2012","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2013","2013","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2014","2014","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2015","2015","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2016","2016","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2017","2017","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2018","2018","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7003","March","2019","2019","°C","0.778","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2001","2001","°C","-0.202","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2002","2002","°C","0.959","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2003","2003","°C","0.911","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2004","2004","°C","1.008","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2005","2005","°C","-0.047","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2006","2006","°C","0.221","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2007","2007","°C","0.93","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2008","2008","°C","-0.019","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2009","2009","°C","0.926","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2010","2010","°C","2.076","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2011","2011","°C","-0.447","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2012","2012","°C","0.252","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2013","2013","°C","0.155","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2014","2014","°C","0.327","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2015","2015","°C","-0.487","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2016","2016","°C","1.707","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2017","2017","°C","1.253","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2018","2018","°C","0.704","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2019","2019","°C","1.11","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2001","2001","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2002","2002","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2003","2003","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2004","2004","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2005","2005","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2006","2006","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2007","2007","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2008","2008","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2009","2009","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2010","2010","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2011","2011","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2012","2012","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2013","2013","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2014","2014","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2015","2015","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2016","2016","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2017","2017","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2018","2018","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7004","April","2019","2019","°C","0.713","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2001","2001","°C","0.311","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2002","2002","°C","0.948","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2003","2003","°C","0.696","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2004","2004","°C","0.013","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2005","2005","°C","0.169","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2006","2006","°C","0.183","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2007","2007","°C","0.296","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2008","2008","°C","-0.014","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2009","2009","°C","0.468","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2010","2010","°C","1.162","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2011","2011","°C","0.35","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2012","2012","°C","0.75","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2013","2013","°C","0.873","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2014","2014","°C","-0.146","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2015","2015","°C","0.733","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2016","2016","°C","0.662","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2017","2017","°C","0.919","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2018","2018","°C","0.718","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2019","2019","°C","0.901","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2001","2001","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2002","2002","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2003","2003","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2004","2004","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2005","2005","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2006","2006","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2007","2007","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2008","2008","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2009","2009","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2010","2010","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2011","2011","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2012","2012","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2013","2013","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2014","2014","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2015","2015","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2016","2016","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2017","2017","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2018","2018","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7005","May","2019","2019","°C","0.531","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2001","2001","°C","-0.879","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2002","2002","°C","0.361","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2003","2003","°C","1.008","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2004","2004","°C","-0.199","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2005","2005","°C","1.491","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2006","2006","°C","0.081","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2007","2007","°C","0.267","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2008","2008","°C","-0.985","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2009","2009","°C","1.276","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2010","2010","°C","0.894","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2011","2011","°C","-0.324","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2012","2012","°C","1.219","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2013","2013","°C","-0.512","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2014","2014","°C","1.525","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2015","2015","°C","0.129","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2016","2016","°C","0.751","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2017","2017","°C","0.29","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2018","2018","°C","0.483","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7006","June","2019","2019","°C","1.675","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2001","2001","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2002","2002","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2003","2003","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2004","2004","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2005","2005","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2006","2006","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2007","2007","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2008","2008","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2009","2009","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2010","2010","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2011","2011","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2012","2012","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2013","2013","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2014","2014","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2015","2015","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2016","2016","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2017","2017","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2018","2018","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7006","June","2019","2019","°C","0.604","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2001","2001","°C","0.168","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2002","2002","°C","1.687","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2003","2003","°C","0.38","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2004","2004","°C","0.749","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2005","2005","°C","0.345","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2006","2006","°C","0.609","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2007","2007","°C","0.599","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2008","2008","°C","0.385","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2009","2009","°C","0.798","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2010","2010","°C","0.637","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2011","2011","°C","0.555","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2012","2012","°C","0.765","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7007","July","2013","2013","°C","0.081","Fc","Calculated data"
